"manicipality","id","oldRatio","emergencyMedicalObs","under_12m","resRatio_2016","comRatio_2016","indRatio_2016"
"인천광역시_중구",165,13.339815264949,2,0.457197757,8.71,4.22,9.31
"전라남도_강진군",166,31.6403729986511,1,0.37487476,14.34,2.24,5.24
"전라남도_고흥군",167,38.6334900307992,2,0.257392739,10.87,1.74,1.67
"전라남도_곡성군",168,32.390835016366,1,0.700366603,14.24,2.06,1.58
"전라남도_광양시",169,11.241722313042,1,0.435444369,10.03,1.3,27.38
"전라남도_구례군",170,31.9054287832606,1,0.687073758,20.8,3.19,1.44
"전라남도_나주시",171,22.4229034524185,1,0.53485586,15.88,1.29,3.57
"전라남도_담양군",172,28.667938141961,1,0.614002507,7.28,0.25,0.68
"전라남도_목포시",173,13.6771319330987,6,0.549202284,13.08,1.78,7.46
"전라남도_무안군",174,18.5051673228346,1,0.567826372,24.09,3.26,1.11
"전라남도_보성군",175,35.3470404984424,2,0.665153747,12.46,2.42,0.61
"전라남도_순천시",176,13.6643166153257,6,0.444705712,10.42,1.51,2.38
"전라남도_신안군",177,34.7760485065243,1,0.512231217,7.88,1.67,1.44
"전라남도_여수시",178,16.3135894861732,4,0.412991301,7.49,0.87,17.08
"전라남도_영광군",179,27.2603616578653,2,0.468058366,10.12,1.81,14.8
"전라남도_영암군",180,21.0694690778896,0,0.489495243,7.3,0.97,14.6
"전라남도_완도군",181,29.6965811081925,1,0.840202867,9.86,2.26,2.1
"전라남도_장성군",182,27.7582059816808,1,0.472492481,7.39,0.67,1.94
"전라남도_장흥군",183,31.9289493160823,2,0.276027459,8.02,1.25,5.88
"전라남도_진도군",184,31.8397505422993,1,0.879666486,10,1.47,4.04
"전라남도_함평군",185,33.7701514807486,0,0.735677276,12.11,1.38,10.77
"전라남도_해남군",186,29.2645810775219,3,0.28595549,11.18,1.12,6.12
"전라남도_화순군",187,24.5206332557606,4,0.668113031,6.11,0.75,1.56
"전라북도_고창군",188,30.7631131836749,1,0.508910712,14.31,1.64,3.29
"전라북도_군산시",189,15.0299934151971,3,0.568385333,9.2,2.05,13.27
"전라북도_김제시",190,28.6736318888138,1,0.588528728,18.08,2.34,7.12
"전라북도_남원시",191,25.2385234027674,1,0.578761355,21.53,3.21,3.55
"전라북도_무주군",192,30.9308660123654,1,0.744714158,16.02,2.85,0.53
"전라북도_부안군",193,30.0511040401118,2,0.499594698,15.18,1.07,3.21
"전라북도_순창군",194,32.9790407995823,1,0.854806798,8.53,1.23,0
"전라북도_완주군",195,18.9665091432094,1,0.492560184,4.38,0.48,4.58
"전라북도_익산시",196,15.7239747581655,2,0.443231835,23.44,2.46,14.31
"전라북도_임실군",197,33.7832170498303,1,0.667385965,12.3,1.54,4.2
"전라북도_장수군",198,30.4669782940714,1,0.796447141,22.1,3.43,1.46
"전라북도_전주시",199,12.4624866593895,4,0.486756792,17.82,2.28,3.32
"전라북도_정읍시",200,24.6789975265532,1,0.66850338,23.49,2.72,6.99
"전라북도_진안군",201,33.0721757780015,1,0.799587696,13.8,2.18,0.63
"제주특별자치도_서귀포시",202,17.8892987096854,1,0.298058218,9.53,0.92,0.79
"제주특별자치도_제주시",203,12.5277425662901,6,0.387874619,11.7,1.83,1.27
"충청남도_계룡시",204,9.28381309148265,0,0.372107026,7.63,0.67,1.49
"충청남도_공주시",205,20.969998583168,1,0.579759234,10.03,0.86,5.54
"충청남도_금산군",206,24.7543961761645,0,0.494135882,13.04,1.35,3.57
"충청남도_논산시",207,21.9376499573276,1,0.490972947,15.18,1.44,3.95
"충청남도_당진시",208,15.9302108489969,1,0.377359463,11.57,1.5,43.76
"충청남도_보령시",209,21.8819505540673,1,0.551904295,13.7,1.77,25.38
"충청남도_부여군",210,29.4899636107524,1,0.459130047,7.91,1.33,0.55
"충청남도_서산시",211,16.1751442735627,2,0.323087166,6.24,0.52,13.6
"충청남도_서천군",212,31.6276911655531,0,0.553958855,19.34,2.46,16.09
"충청남도_아산시",213,10.5173217337269,2,0.401668371,21.34,2.97,15.52
"충청남도_예산군",214,26.4903997481901,1,0.513100081,18.19,1.63,10.49
"충청남도_천안시",215,8.88607785181103,5,0.449022377,24.53,2.3,8.6
"충청남도_청양군",216,31.6539440203562,1,0.577751903,21.5,1.87,5.46
"충청남도_태안군",217,26.3699477251365,1,0.715902759,12.92,4.65,7.95
"충청남도_홍성군",218,20.3684769553003,1,0.495102116,24.06,2.53,6.34
"충청북도_괴산군",219,28.8046326380883,1,0.70201604,13.19,1.45,14.92
"충청북도_단양군",220,26.6778935550644,0,0.270126286,6.59,1.17,6.87
"충청북도_보은군",221,30.3964080327213,1,0.546034527,16.48,1.77,19.5
"충청북도_영동군",222,26.9890955215941,1,0.617217186,12.4,1.18,7.18
"충청북도_옥천군",223,25.7341653541737,1,0.58444586,7.71,0.75,4.46
"충청북도_음성군",224,15.5712715630525,1,0.382160408,27.06,3.88,24
"충청북도_제천시",225,17.2147538351506,2,0.486565765,11.99,2.07,5.79
"충청북도_증평군",226,14.1901550910317,0,0.47555838,20.7,1.83,12.11
"충청북도_진천군",227,15.0036377354423,1,0.196911303,22.52,2.41,21.84
"충청북도_청주시",228,10.7546011247855,7,0.366890089,11.72,1.35,5.41
"충청북도_충주시",229,16.0753221010902,2,0.534454858,13.39,2.49,9
