시도,시군구,행정구역,계_연장,계_면적,광로_연장,광로_면적,대로_연장,대로_면적,중로_연장,중로_면적,소로_연장,소로_명적
충청북도,보은군,충청북도_보은군,356124,4609097,0,0,40199,1071797,121469,1793811,194456,1743489
충청북도,옥천군,충청북도_옥천군,171157,2447015,3020,95900,23391,893612,44714,707187,100032,750316
충청북도,영동군,충청북도_영동군,423449,5474349,0,0,37412,1271770,124677,2161985,261360,2040594
충청북도,진천군,충청북도_진천군,363778,6168591,0,0,98138,2621386,194008,2946472,71632,600733
충청북도,괴산군,충청북도_괴산군,421073,4706166,663,26520,35591,940850,89219,1580216,295600,2158580
충청북도,음성군,충청북도_음성군,600507,9605537,0,0,112024,3060038,258993,4570975,229490,1974524
충청북도,단양군,충청북도_단양군,378982,5762240,0,0,56659,1467254,219950,3314605,102373,980381
충청북도,증평군,충청북도_증평군,152629,2632485,829,33918,19476,621952,59740,1329948,72584,646667
충청남도,소계,충청남도_소계,7307274,133913747,129551,6138309,1300159,44689106,2371352,46609071,3506212,36477261
충청남도,천안시,충청남도_천안시,1213454,19913882,55999,2671259,216033,6257519,396554,6611434,544868,4373670
충청남도,공주시,충청남도_공주시,913750,12309556,0,0,70912,2106095,313083,6603675,529755,3599786
충청남도,보령시,충청남도_보령시,538992,13278685,0,0,102939,5487568,138581,2949453,297472,4841664
충청남도,아산시,충청남도_아산시,624082,10065389,8255,339360,158541,4301078,206612,3296604,250674,2128347
충청남도,서산시,충청남도_서산시,666851,16542412,33892,1424688,194209,8233898,223299,4881626,215451,2002200
충청남도,논산시,충청남도_논산시,518497,14166682,27280,1621761,89098,4495503,147551,4849473,254568,3199945
충청남도,계룡시,충청남도_계룡시,132865,2483640,0,0,40450,1278924,42975,739450,49440,465266
충청남도,당진시,충청남도_당진시,873186,14231899,186,8370,136390,4180076,407105,6626745,329505,3416708
충청남도,금산군,충청남도_금산군,120649,1551487,0,0,30289,583045,30743,511209,59617,457233
충청남도,부여군,충청남도_부여군,152606,1922690,0,0,28635,686241,53905,718295,70066,518154
충청남도,서천군,충청남도_서천군,366798,5650758,3939,72871,61318,2038844,98350,1718673,203191,1820370
충청남도,청양군,충청남도_청양군,55825,792027,0,0,8982,225346,14590,304886,32253,261795
충청남도,홍성군,충청남도_홍성군,253681,4115577,0,0,52412,1643167,75671,1378436,125598,1093974
충청남도,예산군,충청남도_예산군,411257,6686519,0,0,73542,2031442,126699,2749149,211016,1905928
충청남도,태안군,충청남도_태안군,464781,10202544,0,0,36409,1140360,95634,2669963,332738,6392221
전라북도,소계,전라북도_소계,8090714,115031336,159469,7231893,981985,29573026,2173519,37918289,4775741,40308128
전라북도,전주시,전라북도_전주시,915979,15552787,29555,1436655,179551,5746459,261014,4954304,445859,3415369
전라북도,군산시,전라북도_군산시,910590,14448165,38244,1896748,164772,4936056,190008,3339571,517566,4275790
전라북도,익산시,전라북도_익산시,681817,11075788,20532,1159435,113392,3212374,245690,4275065,302203,2428914
전라북도,정읍시,전라북도_정읍시,850069,10613326,34796,1037354,50412,1457047,196587,3528972,568274,4589953
전라북도,남원시,전라북도_남원시,665485,9035003,0,0,72328,2180982,208000,3660442,385157,3193579
전라북도,김제시,전라북도_김제시,599393,8412622,5435,228535,53186,1656508,188012,3781361,352760,2746218
전라북도,완주군,전라북도_완주군,655863,11339676,30562,1459366,131765,4279925,170484,2820642,323052,2779743
전라북도,진안군,전라북도_진안군,287652,3122406,0,0,3194,99914,54455,810178,230003,2212314
전라북도,무주군,전라북도_무주군,388396,3985982,0,0,914,29248,98238,1654080,289244,2302654
전라북도,장수군,전라북도_장수군,194829,2576129,0,0,5820,169950,33838,526443,155171,1879736
전라북도,임실군,전라북도_임실군,281756,3902542,0,0,48133,1465408,45583,823823,188040,1613311
전라북도,순창군,전라북도_순창군,519067,5436090,345,13800,11779,294475,63241,1188915,443702,3938900
전라북도,고창군,전라북도_고창군,564938,7848621,0,0,60852,1747692,216583,3721303,287503,2379626
전라북도,부안군,전라북도_부안군,574880,7682199,0,0,85887,2296988,201786,2833190,287207,2552021
전라남도,소계,전라남도_소계,10513344,149235656,285097,13112475,1228972,36142275,3475471,56638456,5523804,43342450
전라남도,목포시,전라남도_목포시,443516,6525832,7281,313670,79518,2416376,113137,1885335,243580,1910451
전라남도,여수시,전라남도_여수시,903697,14946076,13027,363133,227770,6603717,289681,4940421,373219,3038805
전라남도,순천시,전라남도_순천시,895635,14467323,30563,1345616,155629,4738147,311149,5265093,398294,3118467
전라남도,나주시,전라남도_나주시,646907,9214300,1583,64191,82517,2550802,216805,3901587,346002,2697720
전라남도,광양시,전라남도_광양시,837030,14705764,65946,3401229,145165,4444649,261439,4064296,364480,2795590
전라남도,담양군,전라남도_담양군,324699,3772857,3084,123360,32454,964475,89795,1280414,199366,1404608
전라남도,곡성군,전라남도_곡성군,297597,3434371,0,0,34804,878975,54366,850666,208427,1704730
전라남도,구례군,전라남도_구례군,196778,2248701,0,0,7979,279265,53598,901654,135201,1067782
전라남도,고흥군,전라남도_고흥군,366001,5754665,0,0,6792,214229,265003,4786133,94206,754303
전라남도,보성군,전라남도_보성군,348333,4188117,0,0,45246,1131150,71392,1238806,231695,1818161
전라남도,화순군,전라남도_화순군,410685,5028249,0,0,30893,906780,105408,1776902,274384,2344567
전라남도,장흥군,전라남도_장흥군,320037,5209266,17489,787005,47587,1453000,166622,2223269,88339,745992
전라남도,강진군,전라남도_강진군,437162,6622796,19030,951500,36379,1147185,217872,3093099,163881,1431012
전라남도,해남군,전라남도_해남군,229207,3735831,0,0,30706,825962,132958,2412343,65543,497526
전라남도,영암군,전라남도_영암군,582498,8664606,10786,431440,71890,2288163,214692,3754026,285130,2190977
전라남도,무안군,전라남도_무안군,525076,7019371,19133,796915,49457,1371590,158334,2713505,298152,2137361
전라남도,함평군,전라남도_함평군,573023,7101673,34422,1473350,32373,851692,84668,1453242,421560,3323389
전라남도,영광군,전라남도_영광군,430457,5894465,15222,684990,29899,858087,183857,2717391,201479,1633997
전라남도,장성군,전라남도_장성군,560265,8817315,47452,2372600,47294,1282841,200798,3270244,264721,1891630
전라남도,완도군,전라남도_완도군,377391,3638516,0,0,9549,308415,50757,819039,317085,2511062
전라남도,진도군,전라남도_진도군,368800,3494616,79,3476,21571,539275,22729,408294,324421,2543571
전라남도,신안군,전라남도_신안군,438550,4750946,0,0,3500,87500,210411,2882697,224639,1780749
경상북도,소계,경상북도_소계,13628141,204385095,234520,11728269,1878454,59105789,3416092,62468448,8099075,71082589
경상북도,포항시,경상북도_포항시,1283029,22381373,83417,3937898,249189,7708638,336654,5922708,613769,4812129
경상북도,경주시,경상북도_경주시,1330090,20254046,20875,1086367,188046,5673603,454520,7973915,666649,5520161
경상북도,김천시,경상북도_김천시,759266,12337165,31946,1597300,113457,3149269,256343,4701773,357520,2888823
경상북도,안동시,경상북도_안동시,1109273,13217179,2822,141100,84032,2649456,239940,4367702,782479,6058921
경상북도,구미시,경상북도_구미시,1132970,19031126,18226,1010700,215452,6471586,445473,7791885,453819,3756955
경상북도,영주시,경상북도_영주시,618694,8013197,676,33907,82790,2331877,120877,2109456,414351,3537957
경상북도,영천시,경상북도_영천시,638481,8628964,1980,95431,118221,3190933,170678,2719265,347602,2623335
경상북도,상주시,경상북도_상주시,638274,7983532,0,0,108523,3026690,93434,1543468,436317,3413374
경상북도,문경시,경상북도_문경시,275480,3134644,550,29280,21544,641341,70489,1088365,182897,1375658
경상북도,경산시,경상북도_경산시,704295,12124400,19582,842606,178728,5645532,179272,2989776,326713,2646486
경상북도,군위군,경상북도_군위군,320579,3927380,0,0,22004,622200,68853,1414511,229722,1890669
경상북도,의성군,경상북도_의성군,832954,9383197,0,0,38392,1164796,174696,3191501,619866,5026900
경상북도,청송군,경상북도_청송군,420032,4181662,0,0,4355,152425,43978,803887,371699,3225350
경상북도,영양군,경상북도_영양군,337216,2802245,0,0,7518,222180,9230,124547,320468,2455518
경상북도,영덕군,경상북도_영덕군,108123,1279808,0,0,11724,371750,30780,418444,65619,489614
경상북도,청도군,경상북도_청도군,117962,1641730,3500,140000,14948,461090,37738,602667,61776,437973
경상북도,고령군,경상북도_고령군,374546,9841864,0,0,40580,2705796,140686,4779158,193280,2356910
경상북도,성주군,경상북도_성주군,465733,5920096,0,0,47965,1369142,112154,1893824,305614,2657130
경상북도,칠곡군,경상북도_칠곡군,724606,13529198,24487,1345600,124198,4849834,166279,3848000,409642,3485764
경상북도,예천군,경상북도_예천군,495782,7665225,14639,613220,108685,2887919,132893,2033819,239565,2130267
경상북도,봉화군,경상북도_봉화군,384812,10081746,11820,854860,34531,2002788,34179,593087,304282,6631011
경상북도,울진군,경상북도_울진군,479559,6172203,0,0,63572,1806944,96399,1550001,319588,2815258
경상북도,울릉군,경상북도_울릉군,76385,853115,0,0,0,0,547,6689,75838,846426
경상남도,소계,경상남도_소계,11872570,196536090,396787,19488629,1587086,49073636,3980447,74152985,5908250,53820840
경상남도,창원시,경상남도_창원시,2004951,33790847,79457,3689806,355718,10943618,508587,10642141,1061189,8515282
경상남도,진주시,경상남도_진주시,792757,17216373,12089,905814,199725,7143768,251501,5624905,329442,3541886
경상남도,통영시,경상남도_통영시,440494,5419918,0,0,30164,886148,142490,2241326,267840,2292444
경상남도,사천시,경상남도_사천시,708455,9264497,1110,55500,89285,2470605,172478,2907033,445582,3831359
경상남도,김해시,경상남도_김해시,1127707,19671019,74473,3388120,166111,5293646,358078,6651887,529045,4337366
경상남도,밀양시,경상남도_밀양시,553001,8037745,23540,941600,57201,1725805,184472,3227132,287788,2143208
경상남도,거제시,경상남도_거제시,637966,10519000,0,0,93526,3243598,356513,5768484,187927,1506918
경상남도,양산시,경상남도_양산시,1031706,16023262,42598,2193420,124797,3844515,315069,5329861,549242,4655466
경상남도,의령군,경상남도_의령군,353317,6760896,0,0,14486,441848,75732,2101464,263099,4217584
